HOST_NEIGHBOURHOOD_LGA,YEAR_MONTH,NUM_DISTINCT_HOST,TOTAL_REV,AVG_REV_PER_HOST
ARMIDALE REGIONAL,2020-05-01,1,3645000,3645000.000000
ARMIDALE REGIONAL,2020-06-01,1,3645000,3645000.000000
ARMIDALE REGIONAL,2020-07-01,1,3645000,3645000.000000
ARMIDALE REGIONAL,2020-08-01,1,3645000,3645000.000000
ARMIDALE REGIONAL,2020-09-01,1,3645000,3645000.000000
ARMIDALE REGIONAL,2020-10-01,2,7047000,3523500.000000
ARMIDALE REGIONAL,2020-11-01,2,5913000,2956500.000000
ARMIDALE REGIONAL,2020-12-01,2,15381900,7690950.000000
ARMIDALE REGIONAL,2021-01-01,2,8302500,4151250.000000
ARMIDALE REGIONAL,2021-02-01,2,3928500,1964250.000000
ARMIDALE REGIONAL,2021-03-01,2,9720000,4860000.000000
ARMIDALE REGIONAL,2021-04-01,2,9720000,4860000.000000
BATHURST REGIONAL,2020-05-01,10,1327776912,132777691.200000
BATHURST REGIONAL,2020-06-01,9,1194552576,132728064.000000
BATHURST REGIONAL,2020-07-01,10,1605494016,160549401.600000
BATHURST REGIONAL,2020-08-01,9,2022228432,224692048.000000
BATHURST REGIONAL,2020-09-01,9,2164378608,240486512.000000
BATHURST REGIONAL,2020-10-01,10,2379558384,237955838.400000
BATHURST REGIONAL,2020-11-01,9,2369581200,263286800.000000
BATHURST REGIONAL,2020-12-01,9,2390692752,265632528.000000
BATHURST REGIONAL,2021-01-01,9,2237111856,248567984.000000
BATHURST REGIONAL,2021-02-01,9,2096965584,232996176.000000
BATHURST REGIONAL,2021-03-01,9,2533943664,281549296.000000
BATHURST REGIONAL,2021-04-01,8,2020309200,252538650.000000
BAYSIDE,2020-05-01,882,3418084800,3875379.591837
BAYSIDE,2020-06-01,866,3261284100,3765916.974596
BAYSIDE,2020-07-01,837,2783412000,3325462.365591
BAYSIDE,2020-08-01,742,2193700500,2956469.676550
BAYSIDE,2020-09-01,816,2500829100,3064741.544118
BAYSIDE,2020-10-01,804,2531169000,3148220.149254
BAYSIDE,2020-11-01,792,2478555000,3129488.636364
BAYSIDE,2020-12-01,774,2758792500,3564331.395349
BAYSIDE,2021-01-01,765,2616341400,3420054.117647
BAYSIDE,2021-02-01,758,2447023500,3228263.192612
BAYSIDE,2021-03-01,751,2682400500,3571771.637816
BAYSIDE,2021-04-01,707,2439460800,3450439.603960
BURWOOD,2020-05-01,169,18168408,107505.372781
BURWOOD,2020-06-01,165,16848396,102111.490909
BURWOOD,2020-07-01,159,14958720,94080.000000
BURWOOD,2020-08-01,144,11978496,83184.000000
BURWOOD,2020-09-01,155,14734152,95059.045161
BURWOOD,2020-10-01,155,16238916,104767.200000
BURWOOD,2020-11-01,153,14813568,96820.705882
BURWOOD,2020-12-01,149,17631180,118330.067114
BURWOOD,2021-01-01,149,16776468,112593.744966
BURWOOD,2021-02-01,148,13402908,90560.189189
BURWOOD,2021-03-01,147,14189184,96525.061224
BURWOOD,2021-04-01,136,13487256,99171.000000
CANADA BAY,2020-05-01,204,314638635,1542346.250000
CANADA BAY,2020-06-01,201,265326276,1320031.223881
CANADA BAY,2020-07-01,194,236502572,1219085.422680
CANADA BAY,2020-08-01,164,187584120,1143805.609756
CANADA BAY,2020-09-01,184,213875606,1162367.423913
CANADA BAY,2020-10-01,184,247536014,1345304.423913
CANADA BAY,2020-11-01,169,227549352,1346445.869822
CANADA BAY,2020-12-01,166,206772275,1245616.114458
CANADA BAY,2021-01-01,165,205100699,1243034.539394
CANADA BAY,2021-02-01,165,204721531,1240736.551515
CANADA BAY,2021-03-01,163,216775143,1329908.852761
CANADA BAY,2021-04-01,156,209961390,1345906.346154
CANTERBURY-BANKSTOWN,2020-05-01,280,1098911853,3924685.189286
CANTERBURY-BANKSTOWN,2020-06-01,278,1120321449,4029933.269784
CANTERBURY-BANKSTOWN,2020-07-01,275,1186656822,4315115.716364
CANTERBURY-BANKSTOWN,2020-08-01,245,790348104,3225910.628571
CANTERBURY-BANKSTOWN,2020-09-01,269,943532577,3507556.048327
CANTERBURY-BANKSTOWN,2020-10-01,270,1088868690,4032847.000000
CANTERBURY-BANKSTOWN,2020-11-01,268,1039351014,3878175.425373
CANTERBURY-BANKSTOWN,2020-12-01,254,1276547922,5025779.220472
CANTERBURY-BANKSTOWN,2021-01-01,247,1070822025,4335311.842105
CANTERBURY-BANKSTOWN,2021-02-01,246,1025742627,4169685.475610
CANTERBURY-BANKSTOWN,2021-03-01,242,1041025635,4301758.822314
CANTERBURY-BANKSTOWN,2021-04-01,234,848970486,3628079.000000
CUMBERLAND,2020-05-01,4,12584925,3146231.250000
CUMBERLAND,2020-06-01,4,12982050,3245512.500000
CUMBERLAND,2020-07-01,4,10633275,2658318.750000
CUMBERLAND,2020-08-01,4,5722200,1430550.000000
CUMBERLAND,2020-09-01,4,6493050,1623262.500000
CUMBERLAND,2020-10-01,4,4279725,1069931.250000
CUMBERLAND,2020-11-01,2,65025,32512.500000
CUMBERLAND,2020-12-01,2,191700,95850.000000
CUMBERLAND,2021-01-01,1,762525,762525.000000
CUMBERLAND,2021-02-01,2,58275,29137.500000
CUMBERLAND,2021-03-01,2,98325,49162.500000
CUMBERLAND,2021-04-01,2,246375,123187.500000
DUNGOG,2020-05-01,49,342026550,6980133.673469
DUNGOG,2020-06-01,47,322155225,6854366.489362
DUNGOG,2020-07-01,44,295878825,6724518.750000
DUNGOG,2020-08-01,41,265568625,6477283.536585
DUNGOG,2020-09-01,43,273891375,6369566.860465
DUNGOG,2020-10-01,43,314660700,7317690.697674
DUNGOG,2020-11-01,43,297103950,6909394.186047
DUNGOG,2020-12-01,41,299222100,7298100.000000
DUNGOG,2021-01-01,40,333963000,8349075.000000
DUNGOG,2021-02-01,40,269205525,6730138.125000
DUNGOG,2021-03-01,40,273006450,6825161.250000
DUNGOG,2021-04-01,40,278346375,6958659.375000
GEORGES RIVER,2020-05-01,132,139513883,1056923.356061
GEORGES RIVER,2020-06-01,126,156305072,1240516.444444
GEORGES RIVER,2020-07-01,125,148779801,1190238.408000
GEORGES RIVER,2020-08-01,111,109206742,983844.522523
GEORGES RIVER,2020-09-01,118,131984277,1118510.822034
GEORGES RIVER,2020-10-01,117,140446486,1200397.316239
GEORGES RIVER,2020-11-01,116,118979855,1025688.405172
GEORGES RIVER,2020-12-01,112,143284177,1279323.008929
GEORGES RIVER,2021-01-01,109,120288158,1103561.082569
GEORGES RIVER,2021-02-01,108,117429370,1087308.981481
GEORGES RIVER,2021-03-01,108,112774736,1044210.518519
GEORGES RIVER,2021-04-01,101,99402128,984179.485149
HAWKESBURY,2020-05-01,5,37692000,7538400.000000
HAWKESBURY,2020-06-01,5,37584000,7516800.000000
HAWKESBURY,2020-07-01,6,40212000,6702000.000000
HAWKESBURY,2020-08-01,4,36759600,9189900.000000
HAWKESBURY,2020-09-01,4,37584000,9396000.000000
HAWKESBURY,2020-10-01,4,37584000,9396000.000000
HAWKESBURY,2020-11-01,4,44262000,11065500.000000
HAWKESBURY,2020-12-01,4,30618000,7654500.000000
HAWKESBURY,2021-01-01,4,16362000,4090500.000000
HAWKESBURY,2021-02-01,4,44712000,11178000.000000
HAWKESBURY,2021-03-01,4,44712000,11178000.000000
HAWKESBURY,2021-04-01,3,22143600,7381200.000000
HUNTERS HILL,2020-05-01,65,11752920,180814.153846
HUNTERS HILL,2020-06-01,66,11843424,179445.818182
HUNTERS HILL,2020-07-01,64,11703960,182874.375000
HUNTERS HILL,2020-08-01,55,8762112,159311.127273
HUNTERS HILL,2020-09-01,61,10686816,175193.704918
