PROPERTY_TYPE,ROOM_TYPE,ACCOMODATES,YEAR_MONTH,ACTIVE_LISTING_RATE,MIN_PRICE,MAX_PRICE,MED_PRICE,AVG_PRICE,DISTINCT_HOST_ID,SUPERHOST_RATE,AVG_REVIEW_SCORE,ACTIVE_PCT_CHANGE,INACTIVE_PCT_CHANGE,TOTAL_NUM_STAY,AVG_EST_PRICE
Entire apartment,Entire home/apt,1,2021-02-01,99.009900,30,790,98.500,131.310000,58,6.896600,90.857143,-1.960800,,2434,2753.940000
Entire apartment,Entire home/apt,1,2021-03-01,99.019600,30,790,98.000,131.059406,57,7.017500,91.031250,2.020200,,2414,2746.425743
Entire apartment,Entire home/apt,1,2021-04-01,98.058300,30,790,98.000,130.564356,58,8.620700,91.276923,1.000000,,2516,2813.861386
Entire apartment,Entire home/apt,2,2021-02-01,99.903000,30,12000,125.000,155.711512,2679,12.616600,93.693587,-0.732300,,125680,3619.156669
Entire apartment,Entire home/apt,2,2021-03-01,99.862400,27,12000,125.000,155.635630,2643,12.448000,93.663090,-1.359200,75.000000,125787,3652.834449
Entire apartment,Entire home/apt,2,2021-04-01,99.538200,30,12000,125.000,154.914263,2593,12.726600,93.723246,-2.402000,283.333300,125620,3687.600968
Entire apartment,Entire home/apt,3,2021-02-01,99.922500,33,1078,135.000,156.270753,729,11.522600,92.843558,-0.922400,,31713,3706.971296
Entire apartment,Entire home/apt,3,2021-03-01,99.921400,33,1078,135.500,156.416667,726,11.570200,92.759834,-1.242200,,31647,3719.846698
Entire apartment,Entire home/apt,3,2021-04-01,99.603200,33,1000,136.000,155.707570,714,11.904800,92.942166,-1.258900,,31956,3822.952191
Entire apartment,Entire home/apt,4,2021-02-01,99.952500,16,10000,180.000,220.635305,2122,11.734200,93.097169,-0.964700,,102480,5201.932050
Entire apartment,Entire home/apt,4,2021-03-01,99.952200,16,10000,180.000,219.470447,2102,11.845900,93.118029,-0.689200,100.000000,104055,5264.428332
Entire apartment,Entire home/apt,4,2021-04-01,99.756000,16,10000,180.000,221.813402,2042,11.949100,93.213115,-2.130200,900.000000,102727,5356.390560
Entire apartment,Entire home/apt,5,2021-04-01,99.602100,34,1425,190.000,230.537949,396,13.888900,91.387826,-2.467500,,17584,5188.387483
Entire apartment,Entire home/apt,6,2021-03-01,99.893700,11,5786,219.500,316.758511,410,14.146300,91.947297,-2.083300,,21894,6594.062766
Entire apartment,Entire home/apt,6,2021-04-01,99.328100,11,6500,220.000,320.569335,397,13.602000,92.479076,-5.537800,,20767,6851.073281
Entire apartment,Entire home/apt,7,2021-04-01,99.065400,85,1298,260.500,339.603774,52,23.076900,92.613636,-7.017500,,1951,5509.792453
Entire bungalow,Entire home/apt,2,2021-04-01,94.117600,75,200,120.000,126.312500,7,42.857100,91.933333,0.000000,,335,2637.187500
Entire cabin,Entire home/apt,2,2021-04-01,96.296300,65,290,129.000,137.192308,6,100.000000,97.090909,4.000000,,468,2372.923077
Entire cottage,Entire home/apt,4,2021-04-01,97.297300,106,814,217.500,293.138889,16,18.750000,96.387097,-2.702700,,760,6289.944444
Entire guest suite,Entire home/apt,2,2021-04-01,99.721400,39,2303,110.000,198.044693,113,55.752200,96.368613,-1.648400,,6810,4148.175978
Entire guesthouse,Entire home/apt,2,2021-04-01,99.586800,42,863,110.000,131.082988,102,50.980400,96.415094,1.260500,,4654,2400.526971
Entire house,Entire home/apt,2,2021-02-01,99.595100,46,900,130.000,157.471545,111,19.819800,94.379888,0.000000,,5444,3380.418699
Entire house,Entire home/apt,2,2021-03-01,99.590200,46,900,133.000,158.720165,109,19.266100,94.357955,-0.816300,,5599,3466.481481
Entire house,Entire home/apt,2,2021-04-01,99.166700,46,900,132.500,162.100840,111,19.819800,94.462428,-1.652900,,5634,3606.319328
Entire house,Entire home/apt,3,2021-04-01,99.009900,37,1999,127.500,181.410000,57,26.315800,95.044118,1.010100,,2480,4511.370000
Entire house,Entire home/apt,4,2021-02-01,99.875900,40,10000,214.000,272.160248,462,8.441600,95.137184,-0.494400,,19422,6061.474534
Entire house,Entire home/apt,4,2021-03-01,99.748700,40,10000,210.000,269.469773,460,8.260900,95.132969,-1.243800,,19465,6057.891688
Entire house,Entire home/apt,4,2021-04-01,99.618300,40,4000,210.000,262.424010,456,8.552600,95.102421,-1.261000,200.000000,19650,6339.996169
Entire house,Entire home/apt,5,2020-12-01,99.773800,70,2000,300.000,362.283447,235,8.510600,94.979021,0.915300,,11341,8953.732426
Entire house,Entire home/apt,5,2021-04-01,99.768500,70,2000,300.000,360.470998,222,7.207200,94.711744,0.232600,,10791,8563.296984
Entire house,Entire home/apt,6,2021-04-01,99.298200,50,2600,390.000,464.116608,557,9.874300,94.628609,-2.160800,,28116,10863.765018
Entire house,Entire home/apt,7,2021-04-01,99.737500,66,5000,500.000,593.223684,188,3.191500,95.214876,-0.262500,,9738,14787.644737
Entire house,Entire home/apt,8,2021-04-01,99.683500,75,10000,657.000,785.150265,418,8.851700,95.560000,-0.105700,,22128,17229.798942
Entire house,Entire home/apt,9,2021-04-01,99.450500,136,6492,700.000,825.453039,82,9.756100,94.527778,-3.208600,,4173,17783.110497
Entire townhouse,Entire home/apt,6,2020-12-01,99.359000,58,1995,300.000,367.303226,79,15.189900,94.698276,6.164400,,3831,8615.277419
Private room in apartment,Private room,1,2021-01-01,99.940500,14,14568,59.500,81.332738,870,6.781600,93.272210,-0.591700,,37640,1770.111905
Private room in apartment,Private room,1,2021-02-01,99.642600,14,14568,60.000,81.735804,866,7.043900,93.278481,-0.357400,,35109,1583.991632
Private room in apartment,Private room,1,2021-03-01,99.639900,14,14568,60.000,81.717470,858,6.876500,93.280702,-0.717700,20.000000,35741,1690.756627
Private room in apartment,Private room,1,2021-04-01,99.395000,14,14568,60.000,81.918442,847,6.729600,93.288783,-0.964400,100.000000,35137,1613.133901
Private room in apartment,Private room,2,2020-12-01,99.976800,13,13248,70.000,95.343837,2331,8.279700,93.139280,-2.924000,,104352,2056.493049
Private room in apartment,Private room,2,2021-01-01,99.953200,13,12902,70.000,92.632725,2298,8.094000,93.049109,-0.996500,,103319,2052.222612
Private room in apartment,Private room,2,2021-02-01,99.740800,13,13025,70.000,95.248524,2278,7.901700,92.973906,-0.889700,1000.000000,98491,2021.242618
